CompoundID,CompoundName,GeneSymbolOfTargets,TargetOrMechanism,Synonyms,SampleIDs,ChEMBLID,SMILES,InChIKey,DoseUnit,PubChemCID
DPC-000001,(+)-CAMPTOTHECIN,TOP1,TOPOISOMERASE INHIBITOR,CAMPTOTHECIN;CAMPTOTHECINE,BRD:BRD-K37890730-001-15-1;GDSC2:1003,,,,uM,
DPC-000002,(+)-JQ-1,,,JQ-1;JQ1,CTRP:616354;GDSC1:1218;GDSC1:163;GDSC2:2172,,,,uM,
DPC-000003,(5Z)-7-OXOZEAENOL,,,5Z-7-OXOZEAENOL;LL-Z1640-2,GDSC1:1242,,,,uM,
DPC-000004,(R)-(-)-APOMORPHINE,ADRA2A;ADRA2B;ADRA2C;CALY;DRD1;DRD2;DRD3;DRD4;DRD5;HTR1A;HTR1B;HTR1D;HTR2A;HTR2B;HTR2C;HTR5A,DOPAMINE RECEPTOR AGONIST,R(-)-APOMORPHINE,BRD:BRD-K76022557-003-02-7,,,,uM,
DPC-000005,(R)-(-)-ROLIPRAM,PDE4A;PDE4B;PDE4C;PDE4D;PDE5A,PHOSPHODIESTERASE INHIBITOR,ROLIPRAM-R(-),BRD:BRD-K75516118-001-03-3,,,,uM,
DPC-000006,(R)-BACLOFEN,GABBR1;GABBR2,BENZODIAZEPINE RECEPTOR AGONIST,BACLOFEN-(R),BRD:BRD-K62353271-001-04-7,,,,uM,
DPC-000007,(RAC)-TAVAPADON,,,,BRD:BRD-K00090657-001-01-9,,,,uM,
DPC-000008,"1,12-BESM",,POLYAMINE BIOSYNTHESIS INHIBITOR,,BRD:BRD-K04603573-376-01-3,,,,uM,
DPC-000009,"1,3-DIPROPYL-8-PHENYLXANTHINE",,ADENOSINE RECEPTOR ANTAGONIST,,BRD:BRD-K41853443-001-02-9,,,,uM,
DPC-000010,"1,4-BUTANEDIOL",MAN1B1;PLA2G2A;PLA2G2E,"BENZODIAZEPINE RECEPTOR AGONIST, GAMMA HYDROXYBUTYRIC ACID AGONIST",,BRD:BRD-K22346679-001-06-3,,,,uM,
DPC-000011,"1,5-DICAFFEOYLQUINIC-ACID",,,,BRD:BRD-K53083666-001-01-0,,,,uM,
DPC-000012,"1-((Z)-3-CHLOROALLYL)-1,3,5,7-TETRAAZAADAMANTAN-1-IUM",,,,BRD:BRD-K88956297-003-01-9,,,,uM,
DPC-000013,"1-(1,2-DIPHENYLETHYL)PIPERIDINE-(+/-)",,GLUTAMATE RECEPTOR ANTAGONIST,,BRD:BRD-A86415025-050-01-0,,,,uM,
DPC-000014,1-ACETYL-4-METHYLPIPERAZINE,,ACETYLCHOLINE RECEPTOR AGONIST,,BRD:BRD-K96055017-003-02-7,,,,uM,
DPC-000015,1-AZAKENPAULLONE,CCNB1;CDK1;CDK5;GSK3B,GLYCOGEN SYNTHASE KINASE INHIBITOR,,BRD:BRD-K03273112-001-01-8,,,,uM,
DPC-000016,1-DEOXYMANNOJIRIMYCIN,MAN2A1,ALPHA MANNOSIDASE INHIBITOR,,BRD:BRD-K89665618-003-02-5,,,,uM,
DPC-000017,1-EBIO,KCNN1;KCNN2;KCNN3;KCNN4,POTASSIUM CHANNEL ACTIVATOR,,BRD:BRD-K70586315-001-02-4,,,,uM,
DPC-000018,1-ETHYL-2-PYRROLIDONE,,TRANSDERMAL ABSORPTION-ENHANCING COMPOUND,,BRD:BRD-K08288352-001-03-6,,,,uM,
DPC-000019,1-HEXADECANOL,,,,BRD:BRD-K37203094-001-02-5,,,,uM,
DPC-000020,1-NAPHTHYL-PP1,SRC,SRC INHIBITOR,,BRD:BRD-K29542628-001-03-9,,,,uM,
DPC-000021,1-OCTANOL,GJA1;GJA10;GJA3;GJA4;GJA5;GJA8;GJA9;GJB1;GJB2;GJB3;GJB4;GJB5;GJB6;GJB7;GJC1;GJC2;GJC3;GJD2;GJD3;GJD4;GJE1,,,BRD:BRD-K09338665-001-07-1,,,,uM,
DPC-000022,1-PHENYLBIGUANIDE,HTR3A;HTR3B,SEROTONIN RECEPTOR AGONIST,,BRD:BRD-K31491153-003-05-9,,,,uM,
DPC-000023,10-DEACETYLBACCATIN,,ANTITUMOR AGENT,,BRD:BRD-K96631475-001-02-4;BRD:BRD-K96631475-001-04-0,,,,uM,
DPC-000024,10-DEBC,PIM1,AKT INHIBITOR,,BRD:BRD-K70792160-003-04-6,,,,uM,
